Time,Money-In,Money-Out,Balance,Txid,Block
2017-05-27 23:00:55,0.125,0.0,0.125,7171054b2de853464bb7165049d28c0203cf6c78aadc9bce7ea980c9b4eda240,468443
2017-06-01 14:39:46,0.0,0.125,0.0,705e043cd1987669be256bfedcbd345d31e95900871b3c6d1695a2bc63071b13,469212
2017-06-02 12:07:12,0.089,0.0,0.089,561ee509d5c26d6c6fb9f050dafdd662ef45f042da5dac1495f225583993c64e,469358
2017-06-02 12:52:12,0.0,0.089,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364
2017-06-11 08:59:36,0.26,0.0,0.26,b192ae15d677256591165f7681732ec41d0060a5b89009a3040da9854ee0dccb,470766
2017-06-11 09:31:28,0.0,0.26,0.0,dd27744cfbc05c9b4e718b3ee704978f6d3fbf7e083015fca9dfb80ba865e7fe,470768
2017-07-03 06:51:31,0.03893312,0.0,0.03893312,b11a1141f9c101bd08e405a90d6d8d34f023e54159d20c96fd767d6e42cfcb08,473977
2017-07-03 07:11:37,0.0,0.03893312,0.0,55c09a900090432d6ca983a650fdfbb23f6ea41b7ef3d42c05fa62bf94261590,473980
2017-08-28 15:25:39,0.5,0.0,0.5,776274efa86af15aaeff10b978267fa51d02f06000b8cba35d73eae3e5620cc1,482359
2017-08-28 17:01:54,0.0,0.5,0.0,1e4e7dbf49ae70c00cbbedc7a3e58e77c7fb923126c79c36ceeaee4c105777c6,482366
2017-09-11 14:01:53,0.5,0.0,0.5,1bebee2fb391c6015371c262705c0d87c60f5ff252768993f9b8b8fb1531846c,484664
2017-09-11 14:55:24,0.0,0.5,0.0,29866061b2a7f4f0f82d8fc4e83ce2283a0caaa87c7762b15badfaad9fcb629c,484669
2017-09-17 04:11:36,0.11,0.0,0.11,b20971033a39e3308148638076a8ad422bb5e6639a36597ef4758603043741fa,485673
2017-09-17 04:42:40,0.0,0.11,0.0,b6697969cf463f6d94f8a975d8ee652398534c9fb4445277800c958d63c76bda,485677
