Time,Money-In,Money-Out,Balance,Txid,Block
2017-05-27 13:06:15,1.269628,0.0,1.269628,68998938d7f6da32748441945d50b44ab31c43fc57165eade6259bed8fdfe996,468368
2017-05-27 14:02:22,0.0,1.269628,0.0,461689a21a1870ff07de197b64b8299a11dc18226ad28a2a2d48cc778bcd7d2d,468374
2017-05-28 04:00:40,1.44915487,0.0,1.44915487,395cd1dbc976d7c2d34363787116f0004f16d637d436c2c23431f65c9d45b00b,468484
2017-05-28 10:37:06,0.0,1.44915487,0.0,4ba5c6212f419175bda319186fd861aee3a273d63ad5fcf1e13c770713d68d8c,468520
2017-06-02 12:19:40,0.0122,0.0,0.0122,26e7f101baf506b0249c67f8b5714b1eb47c5da7827742ba65c8f592c3339961,469361
2017-06-02 12:52:12,0.0,0.0122,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364
2017-06-03 06:23:07,0.6943,0.0,0.6943,983df68ab08a654237e4e765131d87e00989137806689a50f9e86d79abeda0e7,469492
2017-06-03 06:35:19,0.0,0.6943,0.0,f50e9183e1173ef11a497d4df1db5a23bd11c4b05f814ef6b0acb530bcfa7435,469494
2017-06-03 06:54:51,0.49751243,0.0,0.49751243,aa63e136d525a4f0bbf211d132ad7fabc764f54372b7c6e99e3e7f252387df7b,469496
2017-06-03 07:17:55,0.0,0.49751243,0.0,1ab215176ac4b7f7c10ed4eef0cdf09d535946b477af3bf7e54742cfceb0b2cb,469498
2017-06-13 15:33:39,0.75,0.0,0.75,3c11386666d96931d2864d7989c4a112f42b75525b6741bb220bb414e0ce0238,471097
2017-06-13 15:50:47,0.0,0.75,0.0,be4d864a20316e5a704a9b313327983d19bf343dbd1eac51ccbea3cbbcaaaf82,471099
2017-06-20 05:25:00,0.7,0.0,0.7,cb7856ef1c9ae5cb67412161d9a5103f2780edb699d7b45b57548919c0bf6193,472073
2017-06-20 05:54:13,0.0,0.7,0.0,e64bcb5147f1d796649cf4b41fcbaee9c8bd44f86c0d235ea11c96c76ccd777a,472077
2017-06-23 17:44:19,1.16601235,0.0,1.16601235,99a459694d91d6ef45cf5b4a2f99d18845d790c2aa83a250de11fefe424e169d,472572
2017-06-23 18:44:54,0.0,1.16601235,0.0,6a0b2262b928ee7b976606db19073fdcb001e6df6b997a6ed6cee5c9cf30171f,472578
2017-06-26 03:31:41,0.6,0.0,0.6,ebf9059a9849a33ebb88901e4e4dc18c976fa1cdd2d0536cceb79df1e2a2e8a1,472898
2017-06-26 04:13:28,0.0,0.6,0.0,8a5ea175649f744ce0409bae1d2f5f7b33e2d2837b7eacf85e4c6fee1a1df6cb,472902
2017-09-18 13:04:26,0.0052,0.0,0.0052,c062650131f6fd1a9ca7a970c5bc93e4ad42270141bfe79d68b4bbcabb0d0a60,485882
2017-09-18 13:21:06,0.0,0.0052,0.0,f9ef53c01d33e8848c78a36b1f7c62554c2b9b3a4716ec588246606474ab535f,485885
2017-09-18 14:01:06,0.82,0.0,0.82,0693d2799d90891c1c4bd14f01bb0ad0434937d9c663a30e8ca7761696777ba2,485891
2017-09-18 15:04:32,0.0,0.82,0.0,e32b34c411eaacdc516b2bb00b9f377b57a6baabf2e8eebcbdc802a545aced61,485895
2017-09-23 12:19:40,0.7543,0.0,0.7543,353b82cdca4d74564b48f0801ea6173746ea1fc96038504a546a59851c8f99ee,486610
2017-09-23 13:21:42,0.0,0.7543,0.0,ed911f061b8309003a6a405efc426127edba49202d84832a0803624d7c7ac4cd,486616
