Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-27 19:31:56,0.04115,0.0,0.04115,2e63d821392b3fee64bf6428b19dc3bbdf970cb4f7b9289b9fbfa0a79ee95be5,473133
2017-06-27 20:01:49,0.0,0.04115,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135
2017-06-29 22:04:20,0.01700019,0.0,0.01700019,58eba006b92164d71e73788a26f33080068b0897903aa53acf2d68e26ec5d32a,473421
2017-06-29 22:27:02,0.0,0.01700019,0.0,553c969bc624f9a9320b09806404eb67d70f13142e04b743b3112c41c9f55e25,473423
2017-07-18 21:24:47,0.049,0.0,0.049,be11f253dd7f05c7acb22107f395d3bb7b388eb9e1a9299e19c9204333cb7e33,476425
2017-07-18 21:38:07,0.0,0.049,0.0,6b78a67dcb76ded6cb286e73b11866487b2798e3b5465beff9f9fe131095d4be,476428
2017-07-19 21:38:10,0.05028302,0.0,0.05028302,7d647c02648b1d278c00626055287e73f133634fded6cd262fc7d97ca4b9e777,476587
2017-07-19 22:09:05,0.0,0.05028302,0.0,3c6848eee56745b163021694639f8d5061278b9ac54cce8674a2d434b935e65d,476589
2017-07-31 11:39:20,0.0491928,0.0,0.0491928,f81f5b08e808990fe7c9fcc03bc2c534afaf1e332515d879d73ffd24478af7bc,478398
2017-07-31 12:32:20,0.0,0.0491928,0.0,2d5434f78248c2bb4d80403284e9fc666ba37a7e5a61f2872a989c6b58eb93df,478402
