Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-02 12:16:31,0.1745,0.0,0.1745,31d0191fceec9df9f01899ad0969a697a11cb64ab49adc2e202d07a4e4ab5e1e,469359
2017-06-02 12:52:12,0.0,0.1745,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364
2017-06-02 21:41:00,0.3374,0.0,0.3374,a69616488738ae7ff8c047a1295c21e6c3a7c0238bdb45ebf75cf3bc9c050d40,469425
2017-06-02 22:04:40,0.0,0.3374,0.0,e3b4f4ac92d99d00c20880024a2ec2830202b5a7e921239fb00ddfa656a0026a,469427
2017-06-03 20:05:56,0.27024,0.0,0.27024,4602c70bc4cb06b9e2514a2e18d3d8bb8db2b360a5925976bb16fa11aa2ab776,469598
2017-06-03 20:29:49,0.0,0.27024,0.0,cac1e1d0179e02ef84b13d97843bbb58a58ad164495d82301a7b782c2f49b626,469602
2017-06-09 16:04:55,0.58482,0.0,0.58482,399261d4a1705fd728ff8c4a877887dfc4ed28f49346bf456d2ba3e5071c91ab,470527
2017-06-09 16:29:42,0.0,0.58482,0.0,bf3998d5f519378478c519a1ba32fa2755419b392ba92e4f1066474570d2aaac,470530
2017-06-18 14:35:59,0.06838,0.0,0.06838,e6ea35dff5c4577c631aa22f769bfb6d0c12ca5e1c38fef4df403bafe113a4e3,471829
2017-06-18 15:05:34,0.0,0.06838,0.0,c002a287fe27357fd72d762ea607e187ad519edbe0d1000852970ad2c32fd664,471832
2017-08-07 12:24:34,0.07620767,0.0,0.07620767,7bdf6d3127720a06490041ed535508ac8977e72cfe22eeb5abb330bb53642025,479482
2017-08-07 12:49:45,0.0,0.07620767,0.0,84976fbe200f407b462ce101149c3f105a72caccaa36d88211e09a44e8141ef4,479487
2017-08-07 15:50:48,0.249,0.0,0.249,d2bee1ac70868be27fd90ad64393f817c28102116d062eed89048038c25c39c6,479512
2017-08-07 16:23:40,0.0,0.249,0.0,eebd83b1ff55be0f3a8d4f53e42d5e593d99bd80177df6b9e3e9f1b132a95ee9,479515
2017-08-11 16:41:06,0.3672,0.0,0.3672,274c43bddecd051c5fde2745bba07d7976823979af12309a4a3a16002068a527,480097
2017-08-11 22:28:58,0.6661,0.0,1.0333,d21e44fafd16fc47e8bfdb5a81759de0aafa5dbbb54e345c183fc447c0142788,480131
2017-08-12 08:20:29,0.0,0.3672,0.6661,e1bde196d8cd5760f79955de1c5238c8a6530a4e264bbf28924e7fc5d5e89260,480179
2017-08-13 10:16:21,0.0,0.6661,0.0,f82632ab44e0cb0bb89458ed1e16e8541af5afafe6b1f034c2118a2cc30704a0,480337
2017-08-15 09:59:39,0.15928268,0.0,0.15928268,9d65a8ab23da987ddb2d059cf3aa29f4270ee0ad272e45e0166cbe40fe9ae564,480615
2017-08-15 10:53:58,0.0,0.15928268,0.0,5cfbec3ba4e8c00db3f3b79baeefd7c0b20fab8cfcd06af101a2ab5caf845ebf,480622
2017-08-19 14:24:00,0.024,0.0,0.024,20f987971dc7bc21038f6c4a84ab4ee23b5ca48c4e443e1a79eaf463bd9c7dd0,481254
2017-08-19 15:21:20,0.0,0.024,0.0,dcb6f02635da5443e278f3d3888f72094347e8410fe3553ad73b56cc51493b93,481261
2017-09-29 13:25:22,0.58308024,0.0,0.58308024,59e6dcbf6721dbdf75f2f7f885b5cdef938504349a2164b2ab58e1b4200f3887,487508
2017-09-29 14:24:53,0.0,0.58308024,0.0,c2b9cb97e45067d156b7148dd3a3d1c7762a74e59a4773113e5abb468cb88061,487514
2017-10-02 13:32:52,0.33178024,0.0,0.33178024,d889a425fef9ede865578232c8a355477b21cb53bd2e9260c1f82e2d460b6075,487940
2017-10-02 14:46:52,0.0,0.33178024,0.0,eee015a78aaa7af987744f8286d6d4193036547cfa76443329b5bfa3e5d53b53,487945
