Time,Money-In,Money-Out,Balance,Txid,Block
2017-05-17 13:21:43,0.73426621,0.0,0.73426621,5a4f70c2a469c402e58220087d4adc9da3196f18ca691ff3ae484611f32a53b6,466813
2017-05-17 17:50:23,0.0,0.73426621,0.0,513555ec0ae6d67c62e81ac05e7dcf38f578280339116a771198c51d9f472b74,466851
2017-05-23 21:31:14,0.27922768,0.0,0.27922768,36babb6b8c0d47456b2805fada6f4339b1832a76525fe78b9dc0b268e29835f5,467800
2017-05-23 21:44:55,0.0,0.27922768,0.0,be9a675c8df638f292a8403210d763c2f7c797a6e8340bad3310a62f43b7573c,467805
2017-06-02 12:07:12,0.25543993,0.0,0.25543993,cb973a801747f8831f7dae42779506bbc1db765d5ac09ddaba90a86a000418f2,469358
2017-06-02 12:52:12,0.0,0.25543993,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364
2017-06-04 16:54:51,0.27634721,0.0,0.27634721,da9c9068a644e26ad889fa8e2b78e797b5544b3f69da1412604a397ef2213c27,469736
2017-06-04 17:33:34,0.0,0.27634721,0.0,cf244ef5b71fbe87d77f4d2ac7113b298ebfe78c5571197e00f58b5d4fb8c3fa,469738
2017-06-07 07:25:47,0.27,0.0,0.27,c552b1e286a2111cf2c9577ca017fd4c00478dc52d9a1bf9dedfb7c7e02f16d5,470151
2017-06-07 08:13:34,0.0,0.27,0.0,af11e1a3947e3f48e838fc5b8c1ed3d119d6227134dd9134a0096b5d3664ed8b,470154
2017-07-31 13:31:26,0.01,0.0,0.01,5fc623da99f8388f2bd01b41991f024270c28b4f5fc474e8a190a12c74ea6c26,478408
2017-07-31 13:37:45,0.0,0.01,0.0,5581dd6f8a8291ef4c1e566f47a0ba47b793c6936c0ae0252f1dcee7134f8cc4,478410
2017-08-11 00:25:59,0.171,0.0,0.171,2bc50fda75f30c4d5820897b976fee587147e723c8a51fc37931b3868b953605,480000
2017-08-11 08:01:33,0.0,0.171,0.0,5fbeb96253601d93f6e4918867f901fdbdf833b8f698ceca36c5b4c35b60f933,480045
2017-10-06 06:08:27,0.40767453,0.0,0.40767453,ef53035472fd3bfd33b3285d8af2cdbf0a312fe31c0f77a11827cd906a156b56,488497
2017-10-06 06:34:22,0.0,0.40767453,0.0,d7ea44fd9320239b36f2c9bea465552ec8e22c644aa7cd66aaa0f79410b62298,488500
2017-12-13 22:12:55,0.8002943,0.0,0.8002943,4e1adcbaf01c55089d7261b0e0695aee697e9941ee06c8d3f63d94db16809e02,499145
2017-12-16 21:38:49,1.9995,0.0,2.7997943,154f280a6cf1e8ad27e01ce6cd87536e705ceff553c88997d7c2b1c9156e7785,499664
2017-12-18 13:29:55,0.0,1.9995,0.8002943,371417440687d5e34d4c932634fb904c3efa0702cac496cf5574c9352c87e1ba,499963
2017-12-29 06:15:41,0.0,0.8002943,0.0,1ee12d2feb792ba6d979afd7765c08111fe741771bf57c714bee576a080a5bfb,501526
