Time,Money-In,Money-Out,Balance,Txid,Block
2017-05-25 02:55:22,0.24,0.0,0.24,eb7affc1f883a4d2553669845c85732b989c7d17a43920c3780464e9a5092512,467991
2017-05-25 04:18:58,1.5628211,0.0,1.8028211,f58d52d18b4e329a6b91914877176048b0ee18c0b66ffee1a07ac8540d97edd5,468006
2017-05-25 04:36:00,1.74490561,0.0,3.54772671,defe6da40ddabbeee2601ef3a40e1c89c7d38f40d62eaa7c0766c4627d5a30c7,468007
2017-05-25 05:36:01,1.1145,0.0,4.66222671,e24f8f782c091c6c1ae046363ab7efaa1fdeb82712d1b9f25b8e35bd72ed2fb2,468014
2017-05-25 06:36:12,3.57242618,0.0,8.23465289,e6d6b3ca51c0623d4438fefd84ec2f67d0b5ac9fc3cb7c5f97c9d20760d49099,468019
2017-05-25 08:19:07,1.12656807,0.0,9.36122096,8e095beebf924f6d78069f926046fc4fe41b018209cc06443fcfaccedb7248eb,468026
2017-05-25 08:38:33,1.16764677,0.0,10.52886773,aaf6b76be8a351955e102e6a3bae7043d3fd0f0c2b19179c34b99696d7c05d65,468027
2017-05-25 08:55:07,0.0,3.57242618,6.95644155,3b8d52fd24888d082d23a5c22c1898a02844a42f90d1f0f0062bd73dfdc62583,468029
2017-05-25 09:26:03,1.13984007,0.0,8.09628162,2b62d1c6802bb3a95340515aa014ceaf620c2f03478513ea06bb31ccaf766941,468031
2017-05-25 10:24:16,1.10504159,0.0,9.20132321,7a0a510c8684ee41c39a06f52b394712a9fe9cf6e849b84536d8d9e90c6b4fd6,468039
2017-05-25 12:12:10,0.0,1.74490561,7.4564176,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054
2017-05-25 12:12:10,0.0,1.5628211,5.8935965,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054
2017-05-25 13:24:44,0.0,1.16764677,4.72594973,d2fa1ead5416069f68272c1613239c54bb65ec726cb461e75efdd89b540739d0,468062
2017-05-25 13:24:44,0.0,1.13984007,3.58610966,d2fa1ead5416069f68272c1613239c54bb65ec726cb461e75efdd89b540739d0,468062
2017-05-25 13:24:44,0.0,1.12656807,2.45954159,d2fa1ead5416069f68272c1613239c54bb65ec726cb461e75efdd89b540739d0,468062
2017-05-25 13:24:44,0.0,1.1145,1.34504159,d2fa1ead5416069f68272c1613239c54bb65ec726cb461e75efdd89b540739d0,468062
2017-05-25 13:24:44,0.0,1.10504159,0.24,d2fa1ead5416069f68272c1613239c54bb65ec726cb461e75efdd89b540739d0,468062
2017-06-01 21:56:55,0.0,0.24,-0.0,a700b726c4bd5a61e5be6d3b979475dacdfa98c5273e509c653ab069a3a9a259,469269
2017-06-02 06:48:48,1.9995,0.0,1.9995,1a7ff2d82d3b6cb7bfd8d9423fcb29794ea84d5ad70696feba75417e39d1c754,469325
2017-06-02 07:53:05,0.0,1.9995,-0.0,7f0f73d9e745bf15f9884feb553b25bbed1d71f0bfa116e8920be8379a9adfe3,469331
2017-07-28 07:30:27,1.9999,0.0,1.9999,800e9060b6f9ff0c55891af095c1dc0e49adee1b5a76d0aa41fe59fdcb323abb,477921
2017-07-28 09:57:08,0.0,1.9999,-0.0,074e4a0d5ca48d0d4b782ebbb046c3c47ec17a725bd211942cd25a12ce2fb650,477929
