Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-09 03:29:36,0.0009,0.0,0.0009,49db0649d4a5a5193030862602fc52535f4a110278f7b4cb603f04b9465b7e98,470448
2017-06-09 03:49:19,0.0,0.0009,0.0,6848d854f4140a6a9f107e3faa534bfc4986891a99e337de1682798b33ebd8f0,470450
2017-06-22 04:17:57,0.07605138,0.0,0.07605138,38ca12ca179e948b9953ba7558fbe4f4dc216e6da47c216e145140cb8f9fb9af,472336
2017-06-22 04:33:33,0.0,0.07605138,0.0,bf53921dcb6b1d317a1a78202db974d2c6ffb0a6d066347bc77f835945f46563,472340
2017-06-22 05:27:53,0.12558257,0.0,0.12558257,0758dbb2751d49c6a4bbf949baea39954156a0ba589a82cc11bf6f81c81149a5,472343
2017-06-22 05:48:16,0.0,0.12558257,0.0,7b50a422a64a21e8eed627127395cff0a7cf2786a573d7f72923adc352053d24,472345
2017-06-23 01:59:36,0.08462222,0.0,0.08462222,0ba79f5d7bd7ae5d4d6cc15b0bef1fb3c262f53bca54cc86a8d323b4355e9377,472466
2017-06-23 02:10:57,0.0,0.08462222,0.0,6b731ac53f3db5b266b78db39a7b2c418a5740d279437a7b42663a26a5eda7ac,472469
2017-06-23 04:15:48,0.0999,0.0,0.0999,224662b7167a9fda7ca431e1619fb2534b677fc8587e402de8b999c7f8acab87,472484
2017-06-23 05:08:24,0.0,0.0999,0.0,20824cda9bbbe52aabe58515e8915a2d95a97a44ae3500b7d24367bb4f5b3073,472488
2017-06-23 05:08:24,0.06673251,0.0,0.06673251,f103e93ef5b6653190c0fdb75b0940d62314bf2e487244088fc7581d2e28a966,472488
2017-06-23 05:53:30,0.0,0.06673251,0.0,831ecafa8afa8ff3260b977ab4c232899b9ef517e44e75a75350a14d7f67e4df,472495
2017-06-27 19:31:56,0.13604602,0.0,0.13604602,f4521371902b6fa3fdd5dd9782c11a39f317fb128bc1613bc9b2cd2e1502d37e,473133
2017-06-27 20:01:49,0.0,0.13604602,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135
2017-06-28 01:37:04,0.1818895,0.0,0.1818895,6dca34017ff717bad93f4cbe4194e054eafe8cf25b68ca093467cac188bcc7c3,473165
2017-06-28 02:24:16,0.0,0.1818895,0.0,f5ef2731d34c81defaf934a0d96f9fa3dcb5207d3f858a2d6672da2827f0b56e,473169
2017-06-29 01:34:53,0.09591478,0.0,0.09591478,90e779082772a27f9cbd292cfa4783ab4ac83ea6fb147cb885685adf4d405ef5,473323
2017-06-29 01:53:57,0.0,0.09591478,0.0,271cbac1a36ef30aa8a029e874ec571b3bdcd6e8a5a4b1a0f3a714a378ff8026,473325
