Time,Money-In,Money-Out,Balance,Txid,Block
2017-05-22 12:39:01,0.68854539,0.0,0.68854539,b8440db3e616f630be092ba9aab6b8a5e2147842e57f852780423f438170254c,467577
2017-05-22 13:06:12,0.0,0.68854539,0.0,e1b38600ac30f5d647e0f3cac285bb7a7814730b156bfc36c2e6c7d93e1d33e5,467580
2017-05-22 15:42:50,0.78114666,0.0,0.78114666,ae4f97fa608d79f30b488dfbdfd85fe417c6fdaf9a896874ab7a25761c04515a,467593
2017-05-22 15:57:02,0.0,0.78114666,0.0,93218ba40374832adf1cbadb350d87a69b0849dab41cbc8cd2fbc5956f7256a6,467594
2017-05-22 23:47:52,0.82650097,0.0,0.82650097,2babcd440101fa8c61ba8bdd7ebcfeaa1208576f5267954c55313966d98ac3c1,467648
2017-05-23 00:00:49,0.0,0.82650097,0.0,1128f59914f4df4a45928a21b5132e4a5993f7aedcb2aedf7e8b489156ccda26,467649
2017-05-24 12:54:38,0.8561314,0.0,0.8561314,fce8fe24ba9931fd546b6b19930fd22520a42527f2a6aec7626fc4a32ac601b4,467888
2017-05-24 13:23:17,0.0,0.8561314,0.0,c189ab0d3c07f5ac70159145606dd2aa5e8567d4dcdaeaa309b2eebb4999aa9b,467893
2017-05-25 01:09:56,0.32365835,0.0,0.32365835,f266050c6af238184112a1a82127790adacc71a817c0e61452fd3b241b5eb109,467981
2017-05-25 01:43:45,1.53938888,0.0,1.86304723,8025c4d4d8f89d4d79a933c5db404ffec5c8c27030e74d31da0eb3ea0d86962c,467985
2017-05-25 09:04:50,2.17443897,0.0,4.0374862,6478a958903da40015a6b128dee7857101363291b0118f3cf82984bc5fc064d5,468030
2017-05-25 11:00:17,0.0,2.17443897,1.86304723,94e9aeaea67da46741c4e8e23f49a6a265d5f60be548f03c93a018f0323b074b,468043
2017-05-25 12:12:10,0.0,1.53938888,0.32365835,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054
2017-05-26 01:10:39,2.0,0.0,2.32365835,9b6e1f18711163e8fba8a39c4248b26b8540471efafb5eb53d924c2066ad572a,468142
2017-05-26 12:22:02,0.0,2.0,0.32365835,fc8f88bd33104d535c20b5a0508ebc412b722b84c773afbc8372ca8d85ca3bf2,468213
2017-06-02 00:48:14,0.0,0.32365835,-0.0,be7aa95e6c4ef04d4b66830d25230eb2979c2c79a0c33b1e15862cea01c97df5,469290
2017-08-10 05:41:40,1.97887752,0.0,1.97887752,d28cdbfc8846c706166f459418c999221dab00fbdf42538131f79eb74d360315,479893
2017-08-10 07:18:08,0.0,1.97887752,-0.0,3eff5444a5523716d0d1798fbbac70b65930f138cef042973f2d5900652e820d,479906
2017-09-12 11:32:50,0.83041683,0.0,0.83041683,b1bbbde9eefb27869a71d97a3c3de42694988d78edbba991bf95ee720b7c8ab1,484817
2017-09-12 13:03:54,0.0,0.83041683,-0.0,52a1a4823fdfc1dc41062190dc22a056ccea0f7029dc640c360ab2d0b4401bbd,484828
