Time,Money-In,Money-Out,Balance,Txid,Block
2017-05-18 11:16:23,0.1,0.0,0.1,18631723bd186f49dd39cfa7198d5780688810640241e39b99402a0d3f308add,466953
2017-05-18 23:30:34,0.0,0.1,0.0,439ee9b60569cf93efde564170ae19643055cc9439bbdb150a92f2dbf62a3a3c,467028
2017-05-24 12:54:38,2.09357872,0.0,2.09357872,f89d7c883816d6978c62764921fb3813db70424f3673973a52c371bed217b946,467888
2017-05-24 13:02:12,0.0,2.09357872,0.0,419418fedce391941ea886aa38da8eb933673f493ae0ef8ce5565e62641da228,467889
2017-05-25 09:04:50,1.8,0.0,1.8,919d62a7d9c06e44c6afa280c01822418503008f077e14ccbe6f81b06e6fda02,468030
2017-05-25 12:12:10,0.0,1.8,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054
2017-05-26 00:43:43,2.43962708,0.0,2.43962708,d4e40ef1e98d1f21a95190d3a902569d94da2b523a0194219006eb84facedea7,468138
2017-05-26 08:53:36,0.0,2.43962708,0.0,a2398d98c2961c78254b2a0eecfc61d6379184f100087d87b175a9f0ecbb5690,468191
2017-06-05 04:45:16,5.553119,0.0,5.553119,d3f632762c1d5ed64f930a2274cddf39648506182d01f1b4f4bda4753295c195,469812
2017-06-05 11:22:10,0.0,5.553119,0.0,37b98932a260a5c6f78ac37a558e641587e54dd9d7b438a06f64e62a5b47d9ef,469854
2017-08-15 08:29:55,0.1999,0.0,0.1999,413a934ec0ce189988e1097631d52f349f86f4f598c8a0ba191522a61d663435,480607
2017-08-15 08:29:55,0.2499,0.0,0.4498,05574ce76796af54ff8814f6002e48a1e2c8eed275100656bafd7547f0415fd0,480607
2017-08-15 09:41:42,0.0,0.1999,0.2499,791737733f411837cdf318df987be4e51114a08b3689deac46626a8e45fba032,480613
2017-08-15 09:41:42,0.0,0.2499,-0.0,791737733f411837cdf318df987be4e51114a08b3689deac46626a8e45fba032,480613
2017-12-29 14:38:49,0.0710242,0.0,0.0710242,cb61a5bde29e8de6373937ac554a1563cef9d2084994fd67bd3c81f8a1ee8a0d,501583
2017-12-29 15:06:24,0.0,0.0710242,-0.0,206fbf5c59c90d5bb2eaa606b5b97148f120dbcc901af99c26cd1cf75e6db578,501585
