Time,Money-In,Money-Out,Balance,Txid,Block
2016-03-25 15:51:31,0.1019,0.0,0.1019,85a78d2fad8d3c34e2d7fefe739117c84628cac3db23a90d329e88a703eeb7f7,404226
2016-03-25 16:51:45,0.0,0.1019,0.0,1b868315970514b2fd750007ad0d7c1f0285a14337ca67a1a874ca4db96bb707,404233
2017-03-30 19:34:56,0.32,0.0,0.32,791033501c2f6217cc7d4f688617e3dbd0fa41c8d81de5e7ec9e55e28cd22714,459660
2017-03-30 19:58:26,0.0,0.32,0.0,8cd9a8e456b49d2db608c75031fa6a42551cbc943cee3e3dca6e5c4e9aaa8f36,459664
2017-06-02 12:07:12,0.2499,0.0,0.2499,7e25e271b65712b04f24ae3be812227ff536317a3e7e22e4b53218fa41803ae0,469358
2017-06-02 12:52:12,0.0,0.2499,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364
2017-06-06 21:31:59,0.3999,0.0,0.3999,dde0e85d254d3dd0484b429440744217a880a8392a1446a0d634b17342636eae,470089
2017-06-06 22:20:05,0.0,0.3999,0.0,20bc791d79bbd0cdb590d2707b2af65750bf395fedb3c8cd9bf5a96c72ae8c7f,470091
2017-07-31 05:23:06,0.0099,0.0,0.0099,030a42f76c0c7d66948153eddd851450e1006696d28565570d0f9959a93c7386,478363
2017-07-31 05:49:43,0.0,0.0099,0.0,9df6aaf321d7a818b9e8e60db4892db640445e5524a6761cd7e266b2372d443b,478366
2017-07-31 07:47:56,1.03056843,0.0,1.03056843,88e22668c3ef065916d394ea4876507967755531a25ee08784a8736b54d85223,478379
2017-07-31 09:31:29,5.78337992,0.0,6.81394835,eb3793ccc28698160338d8eb73354558b09a6320d28138d5d8bf8aba9a047850,478386
2017-07-31 14:27:32,0.0,1.03056843,5.78337992,200e33188150a6792c0ec55da26f4d330cfa6c5564e239efcee7b16a52015667,478416
2017-08-01 01:40:54,0.0,5.78337992,0.0,11cc084c4bc6032c6e77b993fb3c4cf48a449a55dd8aa4c9da77990fc2b76b36,478483
2017-08-08 14:04:46,0.164,0.0,0.164,42ef57ee206858c199455bfc7785882ad785896178bed179783ce523a2902d23,479672
2017-08-08 14:31:52,0.0,0.164,0.0,f8cd046a7b4499c58cec61c8bd601ba4a0fd656d500c9a3b0cef93f0e17bfc83,479677
2017-08-29 12:52:01,0.0135,0.0,0.0135,7225c98706d80cfbd6a38838fb2f1134805b82d53cdf5aa9fbe203ab0536b117,482472
2017-08-29 13:11:17,0.0,0.0135,0.0,bd13e2ec53cc3018e795457f1d58e04cf60333f3dcb436b2389bab2cc96d9b63,482474
2017-08-29 14:03:15,0.13520199,0.0,0.13520199,21aab0e02f67fce913aa91ddf1c254ac63c724898a83f9e015763d3d5e65b0d2,482480
2017-08-29 15:03:40,0.0,0.13520199,0.0,4daf76055eccb0ce3b9130ad0a17008aa57e0affb2b8d220ef8dc4d3561486f9,482490
