Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-18 13:40:00,0.02,0.0,0.02,ab7dd776e184b5d9df9dff805ce8422a9784cc237f66e633ba60ffa7cde76cd5,471819
2017-06-18 14:05:29,0.0,0.02,0.0,899184e367f2e378ec7e6539f420580bc1482e3cd0bf2fce6aaa7084ae41e1f7,471823
2017-06-18 22:33:41,0.02,0.0,0.02,006403662a0046bf3454de9b722268cbf045310660234d818b9608adb94b0234,471870
2017-06-18 22:58:58,0.0,0.02,0.0,b13749073e1e3e814659f4211b5655ef39a20ad867b71d0b953ad4d27bd72c5f,471875
2017-06-19 04:23:37,0.019,0.0,0.019,456324720ab7687086b833c7afa336bd5dfc11ec764c6e0e800cea4a5fd5f87f,471908
2017-06-19 04:48:10,0.0,0.019,0.0,687ee3687b87ede816c3c5887184d17f2c9987a467722f7b2a52ac811311c52f,471911
2017-06-19 07:21:47,0.03,0.0,0.03,adcd3e5ce712687001285d0e87f45150974ca64ea2464236f34801ac9163fc32,471927
2017-06-19 07:38:16,0.0,0.03,0.0,d822d8cc5ecd149bdf8138aa8a950133f94e30de545bdf1212e8347d7f3b519b,471929
2017-06-19 16:06:13,0.029,0.0,0.029,9fdec6e71780943a049f4232ecd155a357e90bbfb45328b67ca67a404ac1df67,471978
2017-06-19 16:37:14,0.0,0.029,0.0,2912e42ddf674f8d916cb599b23ff53322562fcf343ebee096da674a2d2d0147,471980
2017-06-19 19:05:19,0.0785,0.0,0.0785,f2169b65f20b915f16d916d590db211c0fcaf22630c57a027b84c0eb0e85eaad,471996
2017-06-19 19:20:32,0.0,0.0785,0.0,cbd3295d6625658781d3c60655484c977619cc3bc6a3c0e72a2e7b9bbd4e24a5,471998
2017-06-20 08:24:26,0.05164465,0.0,0.05164465,6abbdc658a4c148ddba982dd76b3f07c67c6631951d70e9b93e2e7d7fb45e650,472086
2017-06-20 08:41:40,0.0,0.05164465,0.0,335b59c9094fb110b6925ca7cd828a65fb8e7f6d9f1d1eec643553422acf8361,472088
2017-06-21 14:08:35,0.03,0.0,0.03,6b83a8bedebc860f80624e8800556cdfc13fc55c885c79c91203edab1cadca8d,472254
2017-06-21 14:36:34,0.0,0.03,0.0,73463d6421f00b2cf36797e08594cd4967a557d816c81b9028e45be98b598e96,472256
2017-06-22 12:15:31,0.0295,0.0,0.0295,b1f9d1f37209c01522787dfec07fd45716ca590ddd9b19fdb8a29fbc7bce54a4,472378
2017-06-22 12:34:08,0.0,0.0295,0.0,01919e74ad1de9ad3b061e62e511665b0f11aaef1f42b5a8fcef490b60344288,472380
2017-06-23 07:20:42,0.03,0.0,0.03,9cc5f03551f003c9c1b4c310338a76b5e882f46e2921f5cc1e363620b3f1dcfb,472502
2017-06-23 07:35:38,0.0,0.03,0.0,0117940e1d41a160ac5aef877f61c75c82b87a1008aa72f87a9bf8fd7d0457f7,472506
2017-06-25 00:37:34,0.01956341,0.0,0.01956341,9bdd36084469de2c2e99d18e0c718cc76a44880e821b3fc3f60e8d95d62f8c13,472762
2017-06-25 00:53:15,0.0,0.01956341,0.0,240936909e987bc61efe7739acd84d5839e9c96f30d022b5b6ff11e487f2f08a,472765
2017-06-25 22:50:31,0.05385048,0.0,0.05385048,0e41cddc84c7bfb20a41f1b4ddbd74332b7da70d5e66f54916b4d670753a7e61,472878
2017-06-25 23:16:59,0.0,0.05385048,0.0,6bd0832dd4f9e89f23e8c0f01e1608486035acfa4a5f6f4acfc7335ec43be877,472880
2017-06-27 19:31:56,0.069,0.0,0.069,55c511066dcdf68dc06302ba6dfd5312409303f9de9b88f6db3f803e0007dc1e,473133
2017-06-27 20:01:49,0.0,0.069,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135
2017-07-09 00:42:14,0.0244,0.0,0.0244,6155249b5b334c58ad6797077e3fca7eac1f549da2296049ceb66d00687e36e3,474870
2017-07-09 01:02:59,0.0,0.0244,0.0,3dde69f63cf12580aa5f1d243fb7d57179cb178c0cd57d3c3fe930a512f94cdd,474872
2017-08-05 18:49:33,0.0475,0.0,0.0475,26b02de248693cab9931d9dd1d0aebc3a75bb8a3578c10d4b3a055619568ec15,479231
2017-08-05 19:11:35,0.0,0.0475,0.0,bd2ea90d1cc6f2a5c3cf2008021c61f3051155f00e79dfb42a1ad515635f878a,479233
2017-09-27 19:50:08,0.0363475,0.0,0.0363475,bbd87e31b047d771d9569a76a3fdbed50807c47ff5c869c8dcd83293065c9050,487222
2017-09-27 20:20:43,0.0,0.0363475,0.0,0106959c344a8b7ada6837262930cf0f0bbd671bdd99e0a65daa3714f46177c5,487224
