Time,Money-In,Money-Out,Balance,Txid,Block
2017-05-08 00:04:20,0.800095,0.0,0.800095,5ef54d641f73e0b91887fc18f05247e45c4d19152dd469fdd049621744239e39,465335
2017-05-08 00:46:45,0.0,0.800095,0.0,27ffd3c75b002ad031cdceb691b56571b57cefbb2d523bd3d7acf067e7ea1fc0,465339
2017-05-14 05:12:56,2.32573854,0.0,2.32573854,82f05eb80f28781782f3cafe83051465f8eac51ee7d07d5985189117e2565381,466302
2017-05-14 05:33:13,0.0,2.32573854,0.0,f9c30ac60feeda6960e15eb2ef4410b9cf0ec722e68ad96ab9084d59c6b4b321,466304
2017-05-19 11:11:29,0.4358,0.0,0.4358,a89cc93ff3336528f6759bd6d1425d71196fa35aff66806d7d579016c8d3856b,467099
2017-05-19 11:51:54,0.0,0.4358,0.0,52a63a6c1a0d5d050d70fd6328a85a48f24fee81ff71a34734d4d7b2d75e85c0,467103
2017-05-25 04:36:00,0.148,0.0,0.148,01fac5483dc1a46c0b84d969551985ebb64db9cf1e7762fdfb95319c6ed48d0f,468007
2017-05-25 10:24:16,1.787219,0.0,1.935219,dd4b18ce741185faefb592259a81a8b063323187fcbaf402fd087a874d97d571,468039
2017-05-25 11:00:17,0.3791,0.0,2.314319,38ecfa0c24c24818346f101fe363f4de1eedf4fecf9c5d963fb344d44c8772d3,468043
2017-05-25 12:12:10,0.0,1.787219,0.5271,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054
2017-06-01 16:12:06,0.0,0.148,0.3791,b176d65bb85c115da7c89e68e6a8677f0ea37b3fa75c9e25bc7f2a437c15418e,469227
2017-06-02 02:05:09,0.0,0.3791,-0.0,ce36f7361c1d6125e5ff841a57125d150809ddb5ef1a3433e45e663b2d39442f,469295
2017-06-18 10:22:43,0.99678886,0.0,0.99678886,9d497a7888910de1b8ef8702e4f0779e29057554fc222e5f5fbc7942bf1693e5,471795
2017-06-18 10:29:20,0.39800995,0.0,1.39479881,06baf4abb82bd6b6fc4abecced33a53a32e90aab6446518592b92679a5cb04d4,471796
2017-06-18 10:59:36,0.0,0.39800995,0.99678886,794ca2b27951c9657ddc4b2df16de5d0b429aeb1786e367d4c7df70c63d91b45,471801
2017-06-18 10:59:36,0.0,0.99678886,-0.0,794ca2b27951c9657ddc4b2df16de5d0b429aeb1786e367d4c7df70c63d91b45,471801
2017-06-21 05:56:11,0.4942,0.0,0.4942,1e22c67fe44a6ccd56a9374a9d496babb511f2e43c5468b4a3a8f2503d85a43a,472209
2017-06-21 06:19:59,0.0,0.4942,-0.0,38d8150007ac6f9057aa2974a39715f5c1a86e73b3e031713ec29ff84e3dfb1b,472211
2017-07-12 03:45:02,0.999,0.0,0.999,fc528da9f313105ebc51f36001ae3e59b3d1edca7f195f73961faba394ea2f6d,475398
2017-07-12 04:04:35,0.0,0.999,-0.0,8f96e7baa3c6a0ff4ceb0fdf6d2f0ba3174fe0cb4d6f9e9bb93bd3587ada3d20,475400
2017-07-31 14:49:26,0.00258141,0.0,0.00258141,94bba0793a7a3dc4789e28ffe43507cecea4b9fe28001bf670ffbca60f1fd777,478419
2017-08-01 01:19:41,0.0,0.00258141,-0.0,1ee5fd992a3050e0f68f88c4b6b2c06272fee24e952c7b8c36ff2201499a1888,478479
2017-08-02 08:04:48,0.3942185,0.0,0.3942185,efb3ea0a094760eff61c480b0cee0e58902702bc9be27bb14191cdd27cbf3cc1,478674
2017-08-02 08:59:26,0.005,0.0,0.3992185,8bd8b5c3da6b51b16b6eb88676618cc0479abc582bb10bd9c30578a441e6e9ef,478677
2017-08-02 10:39:54,0.0,0.005,0.3942185,b704745ee257f013885886090fb7715c7569bdb5dffa508aad4901f46bc0c629,478684
2017-08-02 11:50:54,0.0,0.3942185,-0.0,4ab63aef5d6ee9a90bfa674b5953bce8f8166eb89a4f1b0fc93d7380b75fe871,478694
2017-08-05 00:27:17,0.985,0.0,0.985,451ee2290f3e0cd3c389aa26c25113d1975a6e11dda77d5322b6a64de41ce82a,479094
2017-08-05 01:53:19,0.0,0.985,-0.0,29213e9f3b201848be749286d27c830a3012592891033beb255ede3dbd9cf68c,479101
2017-10-31 08:43:20,0.21270169,0.0,0.21270169,501952b42b2190fd7fe3113f451667abb1652895f0ccd6143645f4775e52994f,492479
2017-10-31 09:16:07,0.0,0.21270169,-0.0,4945b2a9557b679b154a08c294a2b8db46994d77ee828b4f8eb0f936c45ee2cd,492481
