Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-22 04:17:57,0.04979679,0.0,0.04979679,1a3b74071a3cb648ee3ac8c9f0e00eee00ea1b3f52e1e882b95599c674829cf0,472336
2017-06-22 04:33:33,0.0,0.04979679,0.0,bf53921dcb6b1d317a1a78202db974d2c6ffb0a6d066347bc77f835945f46563,472340
2017-06-24 12:09:36,0.00365839,0.0,0.00365839,ca85de7c5c2daf9c37982036f36adc55499a27cded2c127129e785bb5ad3e4b5,472679
2017-06-24 12:24:11,0.05942218,0.0,0.06308057,880f18cf09a13ecee17a23220f10d7f46507790b662f19ea1b7b1b53cfc049f2,472680
2017-06-24 12:33:23,0.0,0.00365839,0.05942218,9ba1f112fe80f5d73133c0bae2c9c3f0d3f6bf7f2c91bbc5d63a0fe1b4cada2a,472681
2017-06-24 12:55:06,0.0,0.05942218,0.0,dc8c232e99b8cecb95520add1ee3bacd9de9bc45bfcc60012d2b5e3988ac5366,472682
2017-06-27 19:31:56,0.10657427,0.0,0.10657427,4a6e4badbb7cce17efcbe57ba3db98aced18eea844b91d85cbc5a6701957e7ac,473133
2017-06-27 20:01:49,0.0,0.10657427,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135
2017-07-20 18:50:29,0.11779877,0.0,0.11779877,0064e3e02a7f0e721a0710c5e0ded58e78a3c0e9a41123ef7099da03af8f16e4,476737
2017-07-20 19:15:34,0.0,0.11779877,0.0,d8f806ad5c0e90b91786951ff464ccf72616eabfdd9056330519710953bd9863,476739
2017-07-21 03:30:17,0.1653057,0.0,0.1653057,9b2f7961e0cb22e0da5d4929d4657c901954b848fc20608b91cd908690091db7,476780
2017-07-21 03:53:29,0.0,0.1653057,0.0,5c3c525b0b9cc2484645a8195d05e25cbf81146ed3860532f3ad502e18ae592b,476783
