Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-25 20:40:03,0.002,0.0,0.002,0ff811a9863702b3dad42192011447900777ed7e7c4febdb0d2c278867192088,472869
2017-06-25 21:19:21,0.0,0.002,0.0,34719fc81b0b7f77eb45710f8d5de042dfe9c4ff5f5215148ddf40b7556af8a6,472873
2017-06-26 18:58:42,0.01,0.0,0.01,919b23f60eff3c62b7204048875e1b65c053cd3745b19a26589b0a8241de40e3,472998
2017-06-26 19:36:33,0.0,0.01,0.0,09d03b862180e6f85800adb205012574d4d3a34ce46d25d57712359556fcbc0c,473000
2017-06-27 04:47:07,0.1,0.0,0.1,d36744af71a42bd0134d7e157c2b41553ecbd3436dc99a2afd157669bc280a2a,473050
2017-06-27 05:22:31,0.0,0.1,0.0,accd022bda383ad87249ae60c5d6f75bf77235f25609b061c0df1e1589970f24,473053
2017-06-27 10:36:06,0.1,0.0,0.1,697890d35ddb32aef129610a025b27dea097e0076904e87e0e55686d13b7144c,473078
2017-06-27 11:09:50,0.0,0.1,0.0,93ffcd5fc434eef081604462f7ceba4c20f22a143376abc0bd1a489986640a8a,473081
2017-06-27 19:31:56,0.1,0.0,0.1,726460175cf011165012aff2f5aad1ccfb641d604e2892b6a4277ee09636bdfb,473133
2017-06-27 20:01:49,0.0,0.1,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135
2017-06-28 07:43:21,0.1,0.0,0.1,0afaf49413473f7ef2f91c0327273d6b349e3c3c2759db2a7c3051ebd99712eb,473203
2017-06-28 07:49:38,0.0,0.1,0.0,420fff69287bf8c6507152e7171c47c88866df549fa294b880c8553d21d3cb63,473206
2017-06-28 17:02:58,0.1,0.0,0.1,c8dcb645754cb646cfec09bf2f9b927b5b768d677e1a507d343d3d90ce6a91e2,473259
2017-06-28 17:56:15,0.0,0.1,0.0,6b845fc29176acafd302ab72f24f8cbbcde982638a1ced588765f678e1381e20,473262
2017-07-05 15:02:56,0.1,0.0,0.1,092346b59ccf0532990ab8660e2dc0fddc8c3b89a53e9e32ad25265373ce6cc3,474354
2017-07-05 15:25:16,0.0,0.1,0.0,c10eaa30d1bd807c03a87a37e5251da2b31623ce70c3b3846982fdbcb50de082,474356
2017-07-18 16:33:27,0.12,0.0,0.12,39ecc068824cedfe741e4fb413ff7f089744f54e2cb0a9d0e28651c3f9729c88,476394
2017-07-18 17:13:56,0.0,0.12,0.0,55e3718b29f9767ac3f68949a4d68cacdada99b96fbe14a32d757c9c5c2f1246,476400
