Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-02 12:19:40,0.0206525,0.0,0.0206525,dde444c3aec7bcbc98eb100ad663ffd2de196896736c10b5ee1776b749def315,469361
2017-06-02 12:52:12,0.0,0.0206525,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364
2017-06-13 13:09:31,0.0184915,0.0,0.0184915,a92491b5380d4d574b3e5fc17f34c91d42d96d72ce327031a5d314eb552393b6,471082
2017-06-13 13:33:59,0.0,0.0184915,0.0,331f0a2ce8eb85d3c22fcf9ef3b4b72ca2d428294d2d8d4569858b821d47c74c,471084
2017-06-15 11:49:14,0.042488,0.0,0.042488,a1f3263eab902b00a50b841ed47b6c848fc0517c944d717a0dff2e18511710b6,471371
2017-06-15 11:53:39,0.0,0.042488,0.0,fb6fa6918c9126ca89de746b396270010927f5fd93911fda3e0097966aea2bf9,471373
2017-06-17 15:39:27,0.03932763,0.0,0.03932763,1380e396d2b297ea42b8771e9d39ab034d94a0f407dddab11e15fbaf37f20e26,471695
2017-06-17 16:11:49,0.0,0.03932763,0.0,f7c17e8641b44efd1be31469f3a488312a68dc16071563f2128edede5a627dca,471698
2017-06-19 17:29:25,0.03879,0.0,0.03879,ac3be8ed0a434ef685fcfffc08a1b580500cee954a1e36ef908640a5823c3b23,471984
2017-06-19 18:03:29,0.0,0.03879,0.0,752586cb1387e47d091f4bfb019ce9e78b22a9c02e1a06152ad4a27a5d7cc2af,471988
2017-12-13 13:54:10,0.005867,0.0,0.005867,322abaafcb9fbcd230a3f76b1e4bc30315e98c92d13b86d10d322657bd0ac73d,499077
2017-12-13 14:25:23,0.0,0.005867,0.0,977909301d1ccd47d929449d4275cdd4409dbcf6fd4ac3e3900e846e0f554368,499080
2017-12-15 09:05:39,0.0028925,0.0,0.0028925,96e7c1c0dd0d37a8c01921d20d669f7ae73a8836cb1e36a50e0494d1b150f8f6,499412
2017-12-15 10:24:42,0.0,0.0028925,0.0,e0f37b551d25fda116ecab4ca789f9c144bd271dd556f49fab2f18d583f1782f,499415
