Time,Money-In,Money-Out,Balance,Txid,Block
2017-06-02 04:56:46,0.299,0.0,0.299,9f5342fe9d85eede1b0ac570b380ccc4d59977050a7f08813278ec09b049f2cd,469311
2017-06-02 05:40:53,0.0,0.299,0.0,8a9b7b81b283cb1238c3e09c2890948917e22eb114c6c418c8481027522c32e3,469314
2017-06-02 12:19:40,0.2,0.0,0.2,56c9e5f9e65d533dc47f52bfcc10412d49a92b5b7ef8cdec2a8cfec891b97894,469361
2017-06-02 12:52:12,0.0,0.2,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364
2017-06-04 05:03:07,0.99,0.0,0.99,3124862e1fa0d05f98d46de0235b25b991b81434202d962b072d7382bca680ae,469649
2017-06-04 07:02:38,0.0,0.99,0.0,75222a2a294204e598a68e82ebeba20412f6b9ee2421b6858aa7c32292971ceb,469660
2017-06-05 06:37:21,0.65,0.0,0.65,ff00275c4a3570f96408823fb77621755902780e401427f4a910175eb51185e5,469824
2017-06-05 07:04:58,0.0,0.65,0.0,a9499595148ad63affb203fe20111834c67fae32b36072d7a659a57970b1445c,469828
2017-06-30 13:11:12,0.665,0.0,0.665,73a407595f81e8da0d9337ffe523f16106c667d5b7b25f36fb4eb3b556928251,473506
2017-06-30 13:39:35,0.0,0.665,0.0,121b4a494c407221bca74fe371617b8d17125a2ab18468746162c99fb1d2fed2,473509
2017-06-30 17:29:39,1.0,0.0,1.0,21169ef6de222f213dc724e11b1bd1cd02688e4331a3f3e55977258af60443a6,473541
2017-06-30 18:01:27,0.0,1.0,0.0,a20c48416cc98174d913c7c09f6a52a5eb4488dc86b0e28428bad12ded149240,473544
